trial,alpha,beta,gamma,kappa,goodness,deadline_miss_ratio,avg_latency_ms,avg_queue_length,cloud_spillover,iot_pct,edge_pct,fog_pct,cloud_pct
6,2.44,1.43,5.76,1.36,1.0735,0.066,100.49,20.0,0.078,8.1,31.9,52.2,7.8
37,1.33,0.5,8.55,4.51,1.0736,0.067,100.83,20.0,0.071,8.3,38.4,46.2,7.1
29,1.55,0.44,13.78,5.29,1.0737,0.07,100.93,20.0,0.058,8.2,38.5,47.5,5.8
39,1.37,1.08,2.69,1.74,1.0738,0.065,100.55,20.0,0.082,8.4,34.5,48.9,8.2
92,1.22,1.2,4.57,4.4,1.0739,0.066,100.78,20.0,0.076,8.7,38.6,45.1,7.6
52,1.51,0.51,6.61,0.82,1.074,0.07,100.7,20.0,0.061,7.7,32.3,53.9,6.1
69,2.02,1.88,2.88,1.13,1.074,0.066,100.49,20.0,0.079,8.2,32.8,51.1,7.9
79,0.82,0.3,11.92,5.36,1.074,0.072,101.49,20.0,0.045,9.5,40.8,45.2,4.5
66,2.65,1.77,6.17,1.37,1.0742,0.067,100.53,20.0,0.075,8.2,32.0,52.3,7.5
98,2.83,1.39,13.64,3.89,1.0742,0.068,100.64,20.0,0.07,8.1,34.8,50.1,7.0
17,2.54,1.57,4.21,0.68,1.0745,0.066,100.5,20.0,0.08,8.0,31.5,52.5,8.0
33,2.65,1.68,5.31,0.82,1.0747,0.067,100.54,20.0,0.076,8.1,31.6,52.7,7.6
80,1.28,1.28,3.16,5.61,1.0747,0.065,100.84,20.0,0.081,8.9,39.0,44.0,8.1
21,1.73,0.6,9.18,5.44,1.0748,0.066,100.76,20.0,0.078,8.2,38.0,46.0,7.8
55,1.71,1.46,3.17,2.13,1.0757,0.066,100.54,20.0,0.082,8.3,34.5,49.0,8.2
25,2.99,1.11,14.6,5.23,1.076,0.067,100.71,20.0,0.077,8.0,35.2,49.1,7.7
71,2.18,0.49,9.88,1.95,1.0761,0.068,100.61,20.0,0.074,7.5,32.6,52.5,7.4
76,2.72,1.14,12.68,3.7,1.0766,0.068,100.63,20.0,0.075,8.0,34.4,50.1,7.5
4,0.18,0.48,10.1,3.5,1.0768,0.078,103.76,20.0,0.004,14.9,43.6,41.1,0.4
9,1.66,1.95,6.3,3.54,1.0775,0.07,100.8,20.0,0.067,8.9,37.7,46.7,6.7
91,2.21,0.7,9.49,3.31,1.0776,0.067,100.62,20.0,0.081,7.8,34.5,49.6,8.1
81,2.61,1.95,12.35,5.35,1.0782,0.069,100.75,20.0,0.073,8.5,36.9,47.3,7.3
19,2.64,0.7,10.18,2.68,1.0783,0.068,100.57,20.0,0.079,7.6,32.5,52.0,7.9
34,2.65,1.9,2.2,3.17,1.0785,0.065,100.5,20.0,0.092,8.3,34.1,48.4,9.2
13,1.94,0.79,6.18,1.65,1.0786,0.068,100.52,20.0,0.08,7.9,32.2,51.9,8.0
67,2.52,1.44,9.56,5.93,1.0795,0.067,100.69,20.0,0.084,8.4,37.0,46.2,8.4
36,1.48,1.14,4.71,5.3,1.0796,0.067,100.73,20.0,0.084,8.7,38.2,44.7,8.4
64,0.31,0.97,14.98,5.98,1.0798,0.079,103.76,20.0,0.006,14.9,43.7,40.8,0.6
99,0.97,1.14,1.01,2.08,1.0803,0.067,100.67,20.0,0.086,8.9,37.1,45.4,8.6
16,2.97,1.32,8.8,4.27,1.0804,0.067,100.57,20.0,0.087,8.1,34.3,48.9,8.7
84,2.38,0.31,13.21,5.22,1.0813,0.068,100.76,20.0,0.083,7.5,36.5,47.7,8.3
97,1.27,0.66,2.78,2.81,1.0815,0.065,100.6,20.0,0.097,8.2,36.5,45.6,9.7
56,2.91,1.2,8.59,4.61,1.0816,0.067,100.62,20.0,0.089,8.0,34.9,48.2,8.9
60,2.68,0.57,9.32,3.91,1.0819,0.067,100.58,20.0,0.09,7.5,34.3,49.2,9.0
77,0.53,0.34,5.32,5.44,1.0823,0.068,101.87,20.0,0.074,10.8,41.3,40.5,7.4
18,1.01,0.61,3.95,5.69,1.0824,0.068,101.08,20.0,0.082,9.2,40.2,42.4,8.2
96,2.19,0.67,5.33,2.75,1.0833,0.067,100.56,20.0,0.093,7.7,33.4,49.6,9.3
20,2.75,0.97,4.71,1.86,1.0835,0.068,100.51,20.0,0.09,7.7,32.0,51.3,9.0
63,2.05,0.67,5.43,4.64,1.0844,0.066,100.68,20.0,0.098,7.9,36.6,45.7,9.8
95,2.03,0.73,5.39,5.16,1.0846,0.066,100.62,20.0,0.099,7.9,36.8,45.4,9.9
24,2.4,0.9,1.89,2.6,1.0853,0.066,100.46,20.0,0.102,7.8,32.6,49.4,10.2
23,0.36,0.19,2.54,3.95,1.0864,0.068,101.78,20.0,0.083,10.5,41.5,39.7,8.3
1,1.95,0.15,4.85,1.73,1.0867,0.068,100.55,20.0,0.096,7.2,32.4,50.8,9.6
73,1.33,0.63,1.05,4.74,1.0867,0.067,100.65,20.0,0.099,8.4,37.5,44.2,9.9
3,1.32,0.16,4.06,3.28,1.0869,0.067,100.68,20.0,0.099,7.5,37.0,45.6,9.9
75,1.34,0.12,2.05,5.36,1.0873,0.065,100.75,20.0,0.107,7.7,38.0,43.6,10.7
90,2.89,0.6,2.52,2.89,1.0879,0.066,100.48,20.0,0.107,7.5,31.9,49.9,10.7
86,2.41,0.53,1.33,1.56,1.088,0.066,100.5,20.0,0.107,7.4,31.5,50.4,10.7
42,2.59,0.23,4.33,4.18,1.0882,0.065,100.55,20.0,0.111,7.4,34.1,47.4,11.1
7,2.88,0.74,2.3,1.03,1.0883,0.068,100.55,20.0,0.099,7.5,30.9,51.7,9.9
11,2.14,0.19,4.19,2.09,1.0886,0.067,100.53,20.0,0.104,7.3,32.3,50.0,10.4
65,0.31,0.5,4.71,5.63,1.0888,0.071,103.15,20.0,0.062,13.8,42.6,37.4,6.2
57,0.27,1.21,8.04,5.19,1.0955,0.083,103.91,20.0,0.02,16.4,43.4,38.2,2.0
41,0.31,1.3,4.21,5.48,1.1059,0.081,103.68,20.0,0.051,15.9,43.2,35.8,5.1
26,0.13,1.47,10.54,3.45,1.1218,0.092,107.57,20.0,0.0,23.0,43.9,33.1,0.0
82,0.17,1.5,5.65,5.62,1.1375,0.093,107.89,20.0,0.024,23.1,43.8,30.7,2.4
32,0.1,0.72,1.27,5.61,1.1796,0.102,108.93,20.0,0.062,24.3,42.1,27.4,6.2
93,0.1,1.86,8.54,4.46,1.1991,0.116,113.42,20.0,0.0,30.3,43.9,25.8,0.0
