Task_Number,Device_ID,Workload_Type,Source_Node,Destination_Node,Destination_Layer,Offloading_Path,Processing_Time_ms,Communication_ms,Queue_Wait_ms,Total_Latency_ms,Deadline_ms,Deadline_Met
46,D20,Network Traffic,IoT20,Fog1,Fog,IoT -> Fog,44.2,60.0,5.52,109.72,150.0,Yes
47,D19,Image Processing,IoT19,Fog2,Fog,IoT -> Fog,41.8,65.0,5.22,112.02,300.0,Yes
48,D11,Network Traffic,IoT11,Fog3,Fog,IoT -> Fog,50.6,55.0,6.32,111.92,150.0,Yes
49,D12,Data Analytics,IoT12,Edge2,Edge,IoT -> Edge,54.8,49.0,0.0,103.8,500.0,Yes
50,D10,Image Processing,IoT10,Fog1,Fog,IoT -> Fog,44.8,73.0,11.2,129.0,300.0,Yes
51,D12,Image Processing,IoT12,IoT12,IoT,IoT (local),87.0,0.0,0.0,87.0,300.0,Yes
52,D4,Network Traffic,IoT4,Edge3,Edge,IoT -> Edge,69.6,16.0,0.0,85.6,150.0,Yes
53,D11,Video Processing,IoT11,Edge4,Edge,IoT -> Edge,65.2,64.0,0.0,129.2,120.0,No
54,D16,Data Analytics,IoT16,Fog2,Fog,IoT -> Fog,40.2,49.0,10.05,99.25,500.0,Yes
55,D2,Data Analytics,IoT2,Edge5,Edge,IoT -> Edge,35.6,40.0,0.0,75.6,500.0,Yes
56,D1,Network Traffic,IoT1,Fog3,Fog,IoT -> Fog,58.8,58.0,14.7,131.5,150.0,Yes
57,D8,Network Traffic,IoT8,Edge6,Edge,IoT -> Edge,86.8,50.0,0.0,136.8,150.0,Yes
58,D5,Network Traffic,IoT5,Edge7,Edge,IoT -> Edge,82.4,57.0,0.0,139.4,150.0,Yes
59,D9,Image Processing,IoT9,Edge8,Edge,IoT -> Edge,34.0,29.0,0.0,63.0,300.0,Yes
60,D13,Video Processing,IoT13,Fog1,Fog,IoT -> Fog,43.8,70.0,16.42,130.22,120.0,No
61,D7,Data Analytics,IoT7,Fog1,Fog,IoT -> Fog,43.0,44.0,0.0,87.0,500.0,Yes
62,D2,Image Processing,IoT2,Fog2,Fog,IoT -> Fog,45.0,51.0,0.0,96.0,300.0,Yes
63,D5,Video Processing,IoT5,Fog3,Fog,IoT -> Fog,37.6,73.0,0.0,110.6,120.0,Yes
64,D9,Data Analytics,IoT9,Edge1,Edge,IoT -> Edge,42.8,50.0,0.0,92.8,500.0,Yes
65,D9,Network Traffic,IoT9,Fog1,Fog,IoT -> Fog,31.6,50.0,3.95,85.55,150.0,Yes
66,D4,Network Traffic,IoT4,Fog2,Fog,IoT -> Fog,51.0,77.0,6.37,134.37,150.0,Yes
67,D10,Video Processing,IoT10,IoT10,IoT,IoT (local),81.0,0.0,0.0,81.0,120.0,Yes
68,D13,Network Traffic,IoT13,Fog3,Fog,IoT -> Fog,55.6,48.0,6.95,110.55,150.0,Yes
69,D9,Network Traffic,IoT9,Edge2,Edge,IoT -> Edge,44.8,53.0,0.0,97.8,150.0,Yes
70,D6,Network Traffic,IoT6,Edge3,Edge,IoT -> Edge,61.2,40.0,0.0,101.2,150.0,Yes
71,D13,Data Analytics,IoT13,Fog1,Fog,IoT -> Fog,50.2,46.0,12.55,108.75,500.0,Yes
72,D17,Network Traffic,IoT17,Edge4,Edge,IoT -> Edge,47.2,39.0,0.0,86.2,150.0,Yes
73,D16,Image Processing,IoT16,Edge5,Edge,IoT -> Edge,66.4,25.0,0.0,91.4,300.0,Yes
74,D14,Data Analytics,IoT14,Fog2,Fog,IoT -> Fog,57.6,47.0,14.4,119.0,500.0,Yes
75,D7,Image Processing,IoT7,Fog3,Fog,IoT -> Fog,36.8,41.0,9.2,87.0,300.0,Yes
76,D18,Image Processing,IoT18,Edge6,Edge,IoT -> Edge,21.6,15.0,0.0,36.6,300.0,Yes
77,D14,Video Processing,IoT14,Edge7,Edge,IoT -> Edge,95.2,48.0,0.0,143.2,120.0,No
78,D7,Image Processing,IoT7,Cloud1,Cloud,IoT -> Cloud,25.3,97.0,0.0,122.3,300.0,Yes
79,D18,Video Processing,IoT18,Edge8,Edge,IoT -> Edge,72.0,30.0,0.0,102.0,120.0,Yes
80,D1,Image Processing,IoT1,IoT1,IoT,IoT (local),59.0,0.0,0.0,59.0,300.0,Yes
81,D3,Image Processing,IoT3,Fog1,Fog,IoT -> Fog,50.0,45.0,0.0,95.0,300.0,Yes
82,D3,Network Traffic,IoT3,Fog2,Fog,IoT -> Fog,29.0,83.0,0.0,112.0,150.0,Yes
83,D20,Video Processing,IoT20,Fog3,Fog,IoT -> Fog,48.8,68.0,0.0,116.8,120.0,Yes
84,D17,Image Processing,IoT17,Edge1,Edge,IoT -> Edge,24.4,20.0,0.0,44.4,300.0,Yes
85,D5,Video Processing,IoT5,Fog1,Fog,IoT -> Fog,57.2,75.0,7.15,139.35,120.0,No
86,D13,Video Processing,IoT13,Fog2,Fog,IoT -> Fog,49.2,42.0,6.15,97.35,120.0,Yes
87,D12,Video Processing,IoT12,Fog3,Fog,IoT -> Fog,50.2,70.0,6.27,126.47,120.0,No
88,D17,Data Analytics,IoT17,Fog1,Fog,IoT -> Fog,47.8,54.0,11.95,113.75,500.0,Yes
89,D9,Video Processing,IoT9,Fog2,Fog,IoT -> Fog,55.0,43.0,13.75,111.75,120.0,Yes
90,D1,Data Analytics,IoT1,Edge2,Edge,IoT -> Edge,73.2,24.0,0.0,97.2,500.0,Yes
91,D6,Network Traffic,IoT6,Fog3,Fog,IoT -> Fog,53.0,45.0,13.25,111.25,150.0,Yes
92,D10,Image Processing,IoT10,Cloud1,Cloud,IoT -> Cloud,24.7,94.0,0.0,118.7,300.0,Yes
93,D8,Network Traffic,IoT8,Edge3,Edge,IoT -> Edge,95.6,41.0,0.0,136.6,150.0,Yes
94,D2,Network Traffic,IoT2,Edge4,Edge,IoT -> Edge,78.0,37.0,0.0,115.0,150.0,Yes
95,D3,Data Analytics,IoT3,Edge5,Edge,IoT -> Edge,93.6,63.0,0.0,156.6,500.0,Yes
96,D18,Network Traffic,IoT18,Edge6,Edge,IoT -> Edge,83.6,35.0,0.0,118.6,150.0,Yes
97,D7,Network Traffic,IoT7,Fog1,Fog,IoT -> Fog,49.6,70.0,18.6,138.2,150.0,Yes
98,D17,Data Analytics,IoT17,Edge7,Edge,IoT -> Edge,31.2,22.0,0.0,53.2,500.0,Yes
99,D12,Data Analytics,IoT12,IoT12,IoT,IoT (local),64.0,0.0,0.0,64.0,500.0,Yes
100,D3,Video Processing,IoT3,Edge8,Edge,IoT -> Edge,63.2,55.0,0.0,118.2,120.0,Yes
101,D19,Network Traffic,IoT19,Fog1,Fog,IoT -> Fog,33.0,67.0,0.0,100.0,150.0,Yes
102,D17,Network Traffic,IoT17,Fog2,Fog,IoT -> Fog,32.0,79.0,0.0,111.0,150.0,Yes
103,D20,Video Processing,IoT20,Fog3,Fog,IoT -> Fog,44.6,72.0,0.0,116.6,120.0,Yes
104,D16,Video Processing,IoT16,Fog1,Fog,IoT -> Fog,34.8,78.0,4.35,117.15,120.0,Yes
105,D20,Data Analytics,IoT20,Fog2,Fog,IoT -> Fog,35.0,68.0,4.37,107.37,500.0,Yes
106,D11,Video Processing,IoT11,Fog3,Fog,IoT -> Fog,32.0,49.0,4.0,85.0,120.0,Yes
107,D14,Network Traffic,IoT14,Edge1,Edge,IoT -> Edge,55.6,30.0,0.0,85.6,150.0,Yes
108,D20,Video Processing,IoT20,Fog1,Fog,IoT -> Fog,38.0,78.0,9.5,125.5,120.0,No
109,D17,Video Processing,IoT17,Edge2,Edge,IoT -> Edge,37.2,38.0,0.0,75.2,120.0,Yes
110,D11,Video Processing,IoT11,Fog2,Fog,IoT -> Fog,59.8,62.0,14.95,136.75,120.0,No
111,D19,Video Processing,IoT19,Fog3,Fog,IoT -> Fog,51.8,77.0,12.95,141.75,120.0,No
112,D16,Image Processing,IoT16,Edge3,Edge,IoT -> Edge,69.2,26.0,0.0,95.2,300.0,Yes
113,D8,Data Analytics,IoT8,Edge4,Edge,IoT -> Edge,49.2,27.0,0.0,76.2,500.0,Yes
114,D7,Data Analytics,IoT7,Edge5,Edge,IoT -> Edge,34.8,41.0,0.0,75.8,500.0,Yes
115,D8,Network Traffic,IoT8,Edge6,Edge,IoT -> Edge,38.8,20.0,0.0,58.8,150.0,Yes
116,D15,Data Analytics,IoT15,Edge7,Edge,IoT -> Edge,36.4,33.0,0.0,69.4,500.0,Yes
117,D19,Network Traffic,IoT19,Edge8,Edge,IoT -> Edge,73.2,30.0,0.0,103.2,150.0,Yes
118,D15,Video Processing,IoT15,Edge1,Edge,IoT -> Edge,36.8,22.0,12.26,71.06,120.0,Yes
119,D14,Image Processing,IoT14,IoT14,IoT,IoT (local),88.0,0.0,0.0,88.0,300.0,Yes
120,D12,Network Traffic,IoT12,Fog1,Fog,IoT -> Fog,42.8,47.0,16.05,105.85,150.0,Yes
121,D7,Data Analytics,IoT7,Fog1,Fog,IoT -> Fog,57.6,60.0,0.0,117.6,500.0,Yes
122,D11,Image Processing,IoT11,Fog2,Fog,IoT -> Fog,31.0,79.0,0.0,110.0,300.0,Yes
123,D11,Video Processing,IoT11,IoT11,IoT,IoT (local),67.0,0.0,0.0,67.0,120.0,Yes
124,D17,Video Processing,IoT17,Fog3,Fog,IoT -> Fog,36.6,68.0,0.0,104.6,120.0,Yes
125,D2,Network Traffic,IoT2,Edge1,Edge,IoT -> Edge,30.8,40.0,0.0,70.8,150.0,Yes
126,D13,Image Processing,IoT13,Edge2,Edge,IoT -> Edge,22.4,32.0,0.0,54.4,300.0,Yes
127,D14,Data Analytics,IoT14,Edge3,Edge,IoT -> Edge,49.6,49.0,0.0,98.6,500.0,Yes
128,D19,Video Processing,IoT19,IoT19,IoT,IoT (local),61.0,0.0,0.0,61.0,120.0,Yes
129,D8,Video Processing,IoT8,Fog1,Fog,IoT -> Fog,31.6,79.0,3.95,114.55,120.0,Yes
130,D20,Image Processing,IoT20,Fog2,Fog,IoT -> Fog,43.8,70.0,5.47,119.27,300.0,Yes
131,D4,Data Analytics,IoT4,Fog3,Fog,IoT -> Fog,39.6,60.0,4.95,104.55,500.0,Yes
132,D10,Network Traffic,IoT10,Fog1,Fog,IoT -> Fog,44.8,46.0,11.2,102.0,150.0,Yes
133,D18,Data Analytics,IoT18,Edge4,Edge,IoT -> Edge,58.8,62.0,0.0,120.8,500.0,Yes
134,D3,Data Analytics,IoT3,Edge5,Edge,IoT -> Edge,52.4,51.0,0.0,103.4,500.0,Yes
135,D5,Image Processing,IoT5,Fog2,Fog,IoT -> Fog,39.4,70.0,9.85,119.25,300.0,Yes
136,D15,Data Analytics,IoT15,Fog3,Fog,IoT -> Fog,45.4,49.0,11.35,105.75,500.0,Yes
137,D14,Image Processing,IoT14,Edge6,Edge,IoT -> Edge,67.2,41.0,0.0,108.2,300.0,Yes
138,D19,Image Processing,IoT19,Edge7,Edge,IoT -> Edge,98.0,22.0,0.0,120.0,300.0,Yes
139,D12,Image Processing,IoT12,Edge8,Edge,IoT -> Edge,52.0,26.0,0.0,78.0,300.0,Yes
140,D20,Image Processing,IoT20,Cloud1,Cloud,IoT -> Cloud,25.7,113.0,0.0,138.7,300.0,Yes
141,D12,Image Processing,IoT12,Fog1,Fog,IoT -> Fog,37.4,65.0,0.0,102.4,300.0,Yes
142,D6,Video Processing,IoT6,Fog2,Fog,IoT -> Fog,28.2,54.0,0.0,82.2,120.0,Yes
143,D7,Network Traffic,IoT7,Edge1,Edge,IoT -> Edge,40.8,22.0,0.0,62.8,150.0,Yes
144,D16,Video Processing,IoT16,Fog3,Fog,IoT -> Fog,37.0,77.0,0.0,114.0,120.0,Yes
145,D6,Network Traffic,IoT6,Fog1,Fog,IoT -> Fog,58.0,59.0,7.25,124.25,150.0,Yes
146,D11,Video Processing,IoT11,Edge2,Edge,IoT -> Edge,45.6,41.0,0.0,86.6,120.0,Yes
147,D6,Data Analytics,IoT6,Fog2,Fog,IoT -> Fog,39.0,58.0,4.87,101.87,500.0,Yes
148,D6,Data Analytics,IoT6,Fog3,Fog,IoT -> Fog,35.0,51.0,4.37,90.37,500.0,Yes
149,D12,Video Processing,IoT12,Edge3,Edge,IoT -> Edge,25.2,34.0,0.0,59.2,120.0,Yes
150,D7,Network Traffic,IoT7,Fog1,Fog,IoT -> Fog,52.2,62.0,13.05,127.25,150.0,Yes
151,D4,Data Analytics,IoT4,Edge4,Edge,IoT -> Edge,47.2,60.0,0.0,107.2,500.0,Yes
152,D16,Network Traffic,IoT16,Edge5,Edge,IoT -> Edge,58.8,21.0,0.0,79.8,150.0,Yes
153,D5,Data Analytics,IoT5,Edge6,Edge,IoT -> Edge,40.0,20.0,0.0,60.0,500.0,Yes
154,D4,Video Processing,IoT4,Edge7,Edge,IoT -> Edge,38.8,41.0,0.0,79.8,120.0,Yes
155,D7,Network Traffic,IoT7,Cloud1,Cloud,IoT -> Cloud,29.9,114.0,0.0,143.9,150.0,Yes
156,D18,Video Processing,IoT18,Edge8,Edge,IoT -> Edge,52.4,42.0,0.0,94.4,120.0,Yes
157,D9,Network Traffic,IoT9,Fog2,Fog,IoT -> Fog,39.0,52.0,9.75,100.75,150.0,Yes
158,D1,Video Processing,IoT1,Fog3,Fog,IoT -> Fog,52.4,39.0,13.1,104.5,120.0,Yes
159,D20,Image Processing,IoT20,Fog1,Fog,IoT -> Fog,48.0,86.0,18.0,152.0,300.0,Yes
160,D1,Network Traffic,IoT1,IoT1,IoT,IoT (local),116.0,0.0,0.0,116.0,150.0,Yes
161,D10,Data Analytics,IoT10,Fog1,Fog,IoT -> Fog,37.2,68.0,0.0,105.2,500.0,Yes
162,D12,Data Analytics,IoT12,Fog2,Fog,IoT -> Fog,25.0,85.0,0.0,110.0,500.0,Yes
163,D8,Data Analytics,IoT8,Fog3,Fog,IoT -> Fog,52.6,51.0,0.0,103.6,500.0,Yes
164,D6,Video Processing,IoT6,Edge1,Edge,IoT -> Edge,54.8,60.0,0.0,114.8,120.0,Yes
165,D4,Video Processing,IoT4,Edge2,Edge,IoT -> Edge,39.2,44.0,0.0,83.2,120.0,Yes
166,D15,Data Analytics,IoT15,Edge3,Edge,IoT -> Edge,52.0,44.0,0.0,96.0,500.0,Yes
167,D8,Image Processing,IoT8,Fog1,Fog,IoT -> Fog,59.6,75.0,7.45,142.05,300.0,Yes
168,D7,Data Analytics,IoT7,Fog2,Fog,IoT -> Fog,40.0,42.0,5.0,87.0,500.0,Yes
169,D11,Image Processing,IoT11,Fog3,Fog,IoT -> Fog,49.8,73.0,6.22,129.02,300.0,Yes
170,D6,Image Processing,IoT6,Edge4,Edge,IoT -> Edge,20.8,28.0,0.0,48.8,300.0,Yes
171,D3,Video Processing,IoT3,Edge5,Edge,IoT -> Edge,74.0,37.0,0.0,111.0,120.0,Yes
172,D1,Image Processing,IoT1,Fog1,Fog,IoT -> Fog,45.0,75.0,11.25,131.25,300.0,Yes
173,D18,Network Traffic,IoT18,Edge6,Edge,IoT -> Edge,56.0,43.0,0.0,99.0,150.0,Yes
174,D9,Video Processing,IoT9,Fog2,Fog,IoT -> Fog,46.6,57.0,11.65,115.25,120.0,Yes
175,D10,Network Traffic,IoT10,Fog3,Fog,IoT -> Fog,53.6,58.0,13.4,125.0,150.0,Yes
176,D10,Network Traffic,IoT10,Edge7,Edge,IoT -> Edge,85.2,55.0,0.0,140.2,150.0,Yes
177,D8,Image Processing,IoT8,Edge8,Edge,IoT -> Edge,77.2,41.0,0.0,118.2,300.0,Yes
178,D3,Image Processing,IoT3,Fog1,Fog,IoT -> Fog,40.8,39.0,15.3,95.1,300.0,Yes
179,D6,Image Processing,IoT6,Edge1,Edge,IoT -> Edge,40.8,45.0,13.6,99.4,300.0,Yes
180,D12,Network Traffic,IoT12,IoT12,IoT,IoT (local),75.0,0.0,0.0,75.0,150.0,Yes
181,D18,Image Processing,IoT18,Edge1,Edge,IoT -> Edge,42.4,16.0,0.0,58.4,300.0,Yes
182,D3,Data Analytics,IoT3,Fog1,Fog,IoT -> Fog,53.6,58.0,0.0,111.6,500.0,Yes
183,D15,Video Processing,IoT15,Edge2,Edge,IoT -> Edge,21.2,27.0,0.0,48.2,120.0,Yes
184,D10,Video Processing,IoT10,Fog2,Fog,IoT -> Fog,55.0,60.0,0.0,115.0,120.0,Yes
185,D13,Data Analytics,IoT13,Fog3,Fog,IoT -> Fog,39.2,83.0,0.0,122.2,500.0,Yes
186,D15,Network Traffic,IoT15,Fog1,Fog,IoT -> Fog,32.6,68.0,4.07,104.67,150.0,Yes
187,D11,Video Processing,IoT11,IoT11,IoT,IoT (local),81.0,0.0,0.0,81.0,120.0,Yes
188,D12,Network Traffic,IoT12,Fog2,Fog,IoT -> Fog,40.4,65.0,5.05,110.45,150.0,Yes
189,D13,Image Processing,IoT13,Fog3,Fog,IoT -> Fog,54.2,69.0,6.77,129.97,300.0,Yes
190,D14,Image Processing,IoT14,IoT14,IoT,IoT (local),59.0,0.0,0.0,59.0,300.0,Yes
191,D1,Image Processing,IoT1,Fog1,Fog,IoT -> Fog,42.0,75.0,10.5,127.5,300.0,Yes
192,D3,Data Analytics,IoT3,Fog2,Fog,IoT -> Fog,51.2,54.0,12.8,118.0,500.0,Yes
193,D5,Data Analytics,IoT5,Edge3,Edge,IoT -> Edge,42.4,48.0,0.0,90.4,500.0,Yes
194,D4,Image Processing,IoT4,Fog3,Fog,IoT -> Fog,51.8,62.0,12.95,126.75,300.0,Yes
195,D15,Video Processing,IoT15,Edge4,Edge,IoT -> Edge,82.4,28.0,0.0,110.4,120.0,Yes
196,D12,Data Analytics,IoT12,Edge5,Edge,IoT -> Edge,36.0,45.0,0.0,81.0,500.0,Yes
197,D12,Video Processing,IoT12,Edge6,Edge,IoT -> Edge,90.0,33.0,0.0,123.0,120.0,No
198,D20,Network Traffic,IoT20,Edge7,Edge,IoT -> Edge,70.4,24.0,0.0,94.4,150.0,Yes
199,D1,Network Traffic,IoT1,IoT1,IoT,IoT (local),83.0,0.0,0.0,83.0,150.0,Yes
200,D6,Image Processing,IoT6,Edge8,Edge,IoT -> Edge,91.6,32.0,0.0,123.6,300.0,Yes
201,D16,Video Processing,IoT16,Edge1,Edge,IoT -> Edge,41.2,38.0,0.0,79.2,120.0,Yes
202,D2,Video Processing,IoT2,Fog1,Fog,IoT -> Fog,33.0,43.0,0.0,76.0,120.0,Yes
203,D19,Image Processing,IoT19,Fog2,Fog,IoT -> Fog,46.6,36.0,0.0,82.6,300.0,Yes
204,D16,Video Processing,IoT16,IoT16,IoT,IoT (local),72.0,0.0,0.0,72.0,120.0,Yes
205,D12,Image Processing,IoT12,Fog3,Fog,IoT -> Fog,27.6,53.0,0.0,80.6,300.0,Yes
206,D7,Data Analytics,IoT7,Fog1,Fog,IoT -> Fog,52.6,70.0,6.57,129.17,500.0,Yes
207,D4,Data Analytics,IoT4,Fog2,Fog,IoT -> Fog,36.8,74.0,4.6,115.4,500.0,Yes
208,D18,Data Analytics,IoT18,Edge2,Edge,IoT -> Edge,56.4,23.0,0.0,79.4,500.0,Yes
209,D7,Network Traffic,IoT7,Edge3,Edge,IoT -> Edge,29.2,19.0,0.0,48.2,150.0,Yes
210,D17,Data Analytics,IoT17,Fog3,Fog,IoT -> Fog,49.8,56.0,6.22,112.02,500.0,Yes
211,D10,Video Processing,IoT10,IoT10,IoT,IoT (local),82.0,0.0,0.0,82.0,120.0,Yes
212,D17,Image Processing,IoT17,Edge4,Edge,IoT -> Edge,45.2,44.0,0.0,89.2,300.0,Yes
213,D19,Video Processing,IoT19,Fog1,Fog,IoT -> Fog,43.0,46.0,10.75,99.75,120.0,Yes
214,D7,Video Processing,IoT7,Fog2,Fog,IoT -> Fog,52.6,82.0,13.15,147.75,120.0,No
215,D19,Network Traffic,IoT19,Fog3,Fog,IoT -> Fog,56.2,55.0,14.05,125.25,150.0,Yes
216,D8,Network Traffic,IoT8,Edge5,Edge,IoT -> Edge,66.8,48.0,0.0,114.8,150.0,Yes
217,D16,Video Processing,IoT16,Edge6,Edge,IoT -> Edge,88.0,42.0,0.0,130.0,120.0,No
218,D15,Image Processing,IoT15,Edge7,Edge,IoT -> Edge,56.4,55.0,0.0,111.4,300.0,Yes
219,D9,Data Analytics,IoT9,Cloud1,Cloud,IoT -> Cloud,24.8,110.0,0.0,134.8,500.0,Yes
220,D3,Image Processing,IoT3,Cloud1,Cloud,IoT -> Cloud,29.5,122.0,0.98,152.48,300.0,Yes
221,D5,Image Processing,IoT5,Fog1,Fog,IoT -> Fog,37.6,54.0,0.0,91.6,300.0,Yes
222,D9,Data Analytics,IoT9,Fog2,Fog,IoT -> Fog,35.2,56.0,0.0,91.2,500.0,Yes
223,D19,Network Traffic,IoT19,Fog3,Fog,IoT -> Fog,24.8,49.0,0.0,73.8,150.0,Yes
224,D5,Video Processing,IoT5,Fog1,Fog,IoT -> Fog,43.0,51.0,5.37,99.37,120.0,Yes
225,D9,Data Analytics,IoT9,Edge1,Edge,IoT -> Edge,54.4,45.0,0.0,99.4,500.0,Yes
226,D2,Data Analytics,IoT2,Fog2,Fog,IoT -> Fog,53.8,70.0,6.72,130.52,500.0,Yes
227,D13,Image Processing,IoT13,Fog3,Fog,IoT -> Fog,40.4,81.0,5.05,126.45,300.0,Yes
228,D4,Video Processing,IoT4,Fog1,Fog,IoT -> Fog,53.8,53.0,13.45,120.25,120.0,No
229,D18,Network Traffic,IoT18,Edge2,Edge,IoT -> Edge,32.8,23.0,0.0,55.8,150.0,Yes
230,D14,Network Traffic,IoT14,Edge3,Edge,IoT -> Edge,70.4,26.0,0.0,96.4,150.0,Yes
231,D10,Video Processing,IoT10,Edge4,Edge,IoT -> Edge,33.2,41.0,0.0,74.2,120.0,Yes
232,D17,Data Analytics,IoT17,Fog2,Fog,IoT -> Fog,55.8,70.0,13.95,139.75,500.0,Yes
233,D20,Video Processing,IoT20,Fog3,Fog,IoT -> Fog,39.8,69.0,9.95,118.75,120.0,Yes
234,D12,Video Processing,IoT12,Edge5,Edge,IoT -> Edge,97.2,47.0,0.0,144.2,120.0,No
235,D4,Network Traffic,IoT4,Edge6,Edge,IoT -> Edge,42.4,58.0,0.0,100.4,150.0,Yes
236,D9,Image Processing,IoT9,Cloud1,Cloud,IoT -> Cloud,24.7,98.0,0.0,122.7,300.0,Yes
