Timestamp,Device_ID,Sensor_Data,Workload_Type,Original_Processing_Tier,CPU_Usage(%),Memory_Usage(MB),Network_Latency(ms),Jitter(ms),Task_Execution_Time(ms),QSALB_Source_Node,QSALB_Destination_Node,QSALB_Processing_Tier,QSALB_Offloading_Path,QSALB_Processing_Time(ms),QSALB_Communication_Delay(ms),QSALB_Queue_Wait(ms),QSALB_Total_Latency(ms),Deadline(ms),Deadline_Met,Transmission_Energy(J),Processing_Energy(J),Total_Energy(J)
2024-03-25 12:16:10,D17,"Temp: 33°C, Humidity: 59%",Data Analytics,Edge,65,5463,13,1,78,IoT17,Edge3,Edge,IoT -> Edge,33.48,22.0,11.16,66.64,500.0,Yes,2.9342,0.4018,3.336
2024-03-25 12:16:20,D12,"Temp: 39°C, Humidity: 32%",Data Analytics,Device,88,6806,40,2,64,IoT12,Edge5,Edge,IoT -> Edge,27.79,50.0,9.26,87.05,500.0,Yes,3.6556,0.3334,3.989
2024-03-25 12:16:30,D3,"Temp: 26°C, Humidity: 48%",Video Processing,Cloud,51,5578,38,9,158,IoT3,Edge4,Edge,IoT -> Edge,56.66,55.0,37.76,149.43,120.0,No,2.996,0.68,3.6759
2024-03-25 12:16:40,D19,"Temp: 23°C, Humidity: 31%",Network Traffic,Edge,22,2413,32,5,165,IoT19,Fog3,Fog,IoT -> Fog,30.0,67.0,0.0,97.0,150.0,Yes,2.5921,0.0,2.5921
2024-03-25 12:16:50,D17,"Temp: 39°C, Humidity: 45%",Network Traffic,Device,85,4338,41,8,160,IoT17,Edge4,Edge,IoT -> Edge,57.38,57.0,0.0,114.38,150.0,Yes,2.33,0.6886,3.0185
2024-03-25 12:17:00,D20,"Temp: 25°C, Humidity: 42%",Video Processing,Edge,53,6978,35,7,223,IoT20,Fog3,Fog,IoT -> Fog,40.54,72.0,5.07,117.61,120.0,Yes,7.4959,0.0,7.4959
2024-03-25 12:17:10,D16,"Temp: 27°C, Humidity: 78%",Video Processing,Cloud,65,5546,39,9,174,IoT16,Fog2,Fog,IoT -> Fog,38.46,78.0,0.0,116.46,120.0,Yes,5.9576,0.0,5.9576
2024-03-25 12:17:20,D20,"Temp: 22°C, Humidity: 61%",Data Analytics,Fog,53,8184,32,6,175,IoT20,Edge1,Edge,IoT -> Edge,63.56,46.0,0.0,109.56,500.0,Yes,4.3957,0.7627,5.1584
2024-03-25 12:17:30,D11,"Temp: 33°C, Humidity: 43%",Video Processing,Fog,11,6846,13,6,160,IoT11,Fog1,Fog,IoT -> Fog,36.31,49.0,0.0,85.31,120.0,Yes,7.3541,0.0,7.3541
2024-03-25 12:17:40,D14,"Temp: 34°C, Humidity: 51%",Network Traffic,Device,17,6717,17,5,139,IoT14,Edge2,Edge,IoT -> Edge,54.76,30.0,0.0,84.76,150.0,Yes,3.6078,0.6572,4.2649
2024-03-25 12:17:50,D20,"Temp: 29°C, Humidity: 43%",Video Processing,Device,35,899,44,4,190,IoT20,Fog3,Fog,IoT -> Fog,34.54,78.0,8.63,121.18,120.0,No,0.9657,0.0,0.9657
2024-03-25 12:18:00,D17,"Temp: 34°C, Humidity: 60%",Video Processing,Device,44,1307,25,5,93,IoT17,Edge6,Edge,IoT -> Edge,37.91,38.0,0.0,75.91,120.0,Yes,0.702,0.4549,1.1569
2024-03-25 12:18:10,D11,"Temp: 27°C, Humidity: 43%",Video Processing,Cloud,82,7847,31,1,299,IoT11,Fog2,Fog,IoT -> Fog,66.08,62.0,8.26,136.34,120.0,No,8.4294,0.0,8.4294
2024-03-25 12:18:20,D19,"Temp: 23°C, Humidity: 35%",Video Processing,Edge,59,5196,39,8,259,IoT19,Fog1,Fog,IoT -> Fog,58.77,77.0,7.35,143.12,120.0,No,5.5816,0.0,5.5816
2024-03-25 12:18:30,D16,"Temp: 38°C, Humidity: 54%",Image Processing,Fog,86,4905,9,9,173,IoT16,Edge8,Edge,IoT -> Edge,71.99,26.0,0.0,97.99,300.0,Yes,2.6345,0.8639,3.4984
2024-03-25 12:18:40,D8,"Temp: 38°C, Humidity: 61%",Data Analytics,Device,69,2199,17,2,123,IoT8,Edge3,Edge,IoT -> Edge,52.8,27.0,0.0,79.8,500.0,Yes,1.1811,0.6335,1.8147
2024-03-25 12:18:50,D7,"Temp: 39°C, Humidity: 39%",Data Analytics,Device,25,6587,25,8,87,IoT7,Edge5,Edge,IoT -> Edge,37.77,41.0,0.0,78.77,500.0,Yes,3.5379,0.4533,3.9912
2024-03-25 12:19:00,D8,"Temp: 20°C, Humidity: 47%",Network Traffic,Edge,86,639,6,6,97,IoT8,Edge7,Edge,IoT -> Edge,45.45,20.0,0.0,65.45,150.0,Yes,0.3432,0.5454,0.8887
